Lambda	VIP
6585.260254	0.003255
61847.800781	0.003335
61299.300781	0.003344
61609.699219	0.003399
61656.199219	0.003406
62067.800781	0.003415
61715.500000	0.003419
6760.000000	0.003440
61952.500000	0.003464
61294.300781	0.003472
61821.898437	0.003492
6968.370117	0.003513
61724.601562	0.003523
62129.300781	0.003529
61558.000000	0.003538
61856.398437	0.003544
61134.601562	0.003550
61515.101562	0.003569
61980.898437	0.003576
61576.898437	0.003693
61660.800781	0.003853
61243.601562	0.003872
61614.398437	0.003873
61393.800781	0.003909
61586.300781	0.003927
61543.699219	0.004003
6786.089844	0.004016
61751.500000	0.004027
61457.300781	0.004038
61773.699219	0.004048
61988.898437	0.004081
61898.699219	0.004178
61605.101562	0.004178
6510.580078	0.004186
61253.800781	0.004189
61826.199219	0.004264
51948.398437	0.004278
61864.898437	0.004300
61437.800781	0.004301
51476.601562	0.004346
61476.601562	0.004347
51228.300781	0.004371
62024.800781	0.004399
61972.800781	0.004407
62040.500000	0.004424
62155.898437	0.004461
61548.500000	0.004486
61927.800781	0.004512
6822.040039	0.004578
61524.699219	0.004715
61948.398437	0.004719
61529.398437	0.004722
6469.510254	0.004732
61996.898437	0.004801
61166.199219	0.004813
6717.560059	0.004836
62167.300781	0.004879
62136.898437	0.004911
6475.410156	0.004923
61432.898437	0.004967
6816.939941	0.004983
6493.049805	0.004999
61778.101562	0.005028
6811.839844	0.005092
5510.580078	0.005101
6596.569824	0.005153
6733.580078	0.005183
6744.189941	0.005196
61519.898437	0.005213
61755.898437	0.005219
61207.699219	0.005237
51274.101562	0.005265
62016.898437	0.005328
52020.800781	0.005333
51553.199219	0.005337
5613.430176	0.005365
6796.430176	0.005372
62174.898437	0.005383
61334.300781	0.005395
6852.319824	0.005500
6963.700195	0.005508
6728.250000	0.005522
61562.699219	0.005561
6867.270020	0.005561
61808.898437	0.005579
62052.300781	0.005631
62000.898437	0.005863
6780.899902	0.005905
62133.101562	0.005909
51984.898437	0.005987
61637.699219	0.006076
51886.101562	0.006080
61873.398437	0.006081
6973.020020	0.006114
6579.589844	0.006126
6722.919922	0.006328
62087.199219	0.006365
62110.199219	0.006438
61118.699219	0.006470
6959.010254	0.006476
6862.299805	0.006590
6982.290039	0.006602
61495.898437	0.006614
6891.910156	0.006651
61218.000000	0.006686
62048.398437	0.006713
62140.699219	0.006722
61491.101562	0.006761
61388.800781	0.006770
51873.398437	0.006778
61339.300781	0.006886
6882.100098	0.006979
61212.800781	0.007034
61379.000000	0.007046
61595.699219	0.007057
6940.129883	0.007182
61505.500000	0.007211
51724.601562	0.007229
61428.101562	0.007326
6607.819824	0.007415
6832.189941	0.007416
6613.430176	0.007448
5775.689941	0.007459
6857.319824	0.007475
61423.199219	0.007476
61600.398437	0.007553
61223.101562	0.007606
62063.898437	0.007627
61623.699219	0.007650
62117.898437	0.007834
61890.300781	0.008089
62091.000000	0.008095
61760.398437	0.008242
6573.910156	0.008290
6954.310059	0.008408
62094.898437	0.008412
51548.500000	0.008492
6944.870117	0.008624
6887.010254	0.008726
51299.300781	0.008736
62148.300781	0.008793
6487.180176	0.008878
6754.739746	0.008890
51877.601562	0.008965
52190.000000	0.009112
51113.398437	0.009184
6701.430176	0.009198
61359.199219	0.009228
51324.398437	0.009298
51996.898437	0.009340
6657.839844	0.009340
61915.398437	0.009437
51284.199219	0.009541
61398.699219	0.009556
61902.898437	0.009737
6996.080078	0.009796
51864.898437	0.009821
61418.300781	0.010124
6935.370117	0.010127
61628.398437	0.010154
5728.250000	0.010212
6602.200195	0.010230
51923.699219	0.010247
62197.601562	0.010289
61452.398437	0.010337
52182.398437	0.010357
6562.500000	0.010393
5469.510254	0.010410
61907.000000	0.010456
6696.029785	0.010470
52094.898437	0.010581
6498.899902	0.010582
51738.101562	0.010821
6663.339844	0.010842
6837.239746	0.010849
51491.101562	0.010903
51614.398437	0.010991
51940.199219	0.011103
6749.470215	0.011377
6451.729980	0.011425
51751.500000	0.011431
6916.200195	0.011544
6901.669922	0.011607
6504.750000	0.011610
61510.300781	0.011838
62102.500000	0.011854
62159.699219	0.011989
6556.779785	0.011992
62152.101562	0.012197
62106.398437	0.012285
51319.398437	0.012297
62171.101562	0.012325
61923.699219	0.012640
61413.398437	0.012728
6630.180176	0.012729
6842.279785	0.012820
51529.398437	0.013001
51609.699219	0.013048
51558.000000	0.013105
6539.549805	0.013147
6930.600098	0.013169
6791.260254	0.013497
6533.779785	0.013536
61150.398437	0.013715
6911.370117	0.013776
6522.200195	0.013901
61919.500000	0.013957
51944.300781	0.014012
61160.898437	0.014082
51269.000000	0.014096
6545.310059	0.014182
5973.020020	0.014234
51980.898437	0.014598
51233.398437	0.014677
61403.601562	0.014688
5516.399902	0.014716
51263.898437	0.014744
6463.600098	0.014882
51988.898437	0.015299
51238.500000	0.015737
6481.299805	0.016208
5568.209961	0.016495
6847.310059	0.016677
6674.290039	0.016777
5712.200195	0.016883
6896.799805	0.017028
62201.398437	0.017029
51543.699219	0.017050
5744.189941	0.017072
6679.739746	0.017166
6775.689941	0.017272
52098.699219	0.017459
5624.609863	0.017477
61155.699219	0.017586
61447.500000	0.017613
6624.609863	0.017832
6668.819824	0.018215
51847.800781	0.018340
51510.300781	0.018388
51720.000000	0.018412
61408.500000	0.018449
51329.300781	0.018465
61442.699219	0.018563
6770.470215	0.018688
5887.010254	0.018863
6690.609863	0.019035
51646.898437	0.019523
51524.699219	0.019679
6949.600098	0.019876
52016.898437	0.019902
51294.300781	0.019963
51304.300781	0.019986
6641.279785	0.020129
51755.898437	0.020198
6685.180176	0.020499
51834.898437	0.020765
6712.200195	0.020998
6977.660156	0.022194
51976.800781	0.022635
62182.398437	0.022860
51471.800781	0.023200
5949.600098	0.023217
51839.199219	0.023277
51860.601562	0.023782
51952.500000	0.023950
62178.601562	0.024130
52102.500000	0.024385
51936.101562	0.024556
51642.300781	0.025571
5475.410156	0.025650
51408.500000	0.025974
51869.101562	0.025990
61092.000000	0.026778
51534.199219	0.026920
51605.101562	0.026925
6706.819824	0.026992
51243.601562	0.027031
51619.101562	0.027146
51258.898437	0.027211
5738.890137	0.027313
6652.339844	0.027317
5733.580078	0.027806
51782.500000	0.027891
51927.800781	0.028478
51992.898437	0.028605
51830.601562	0.028744
51481.398437	0.028846
51742.500000	0.029280
51462.101562	0.029353
51334.300781	0.029358
5533.779785	0.029359
51651.500000	0.029717
3585.260010	0.029782
62190.000000	0.029933
52024.800781	0.029953
52000.898437	0.029969
5607.819824	0.030234
51314.300781	0.030328
5679.739746	0.030836
51486.300781	0.030933
51309.300781	0.030977
51747.000000	0.031042
5791.260254	0.031047
51289.199219	0.031138
51706.500000	0.031601
51223.101562	0.032024
51466.898437	0.032392
51931.898437	0.032476
6986.899902	0.032511
6457.669922	0.032731
5801.580078	0.032927
5796.430176	0.033015
3641.280029	0.033367
6646.819824	0.033554
5539.549805	0.033673
52044.398437	0.034299
5872.229980	0.034541
51715.500000	0.034884
5722.919922	0.035392
51786.898437	0.035520
52012.898437	0.035541
52008.898437	0.035562
6991.500000	0.036400
51791.300781	0.036630
51956.601562	0.036939
51539.000000	0.037301
51890.300781	0.037368
5968.370117	0.037548
51495.898437	0.037636
5891.910156	0.037676
51505.500000	0.037762
6415.859863	0.037889
51826.199219	0.038257
51795.699219	0.038907
51701.898437	0.039112
61097.300781	0.039689
5806.709961	0.039919
51960.601562	0.039927
51972.800781	0.040688
61000.601562	0.040969
51843.500000	0.041571
51711.000000	0.043064
5646.819824	0.043551
51804.500000	0.044541
5562.500000	0.045443
5522.200195	0.045480
5717.560059	0.045561
61009.699219	0.045799
51248.699219	0.045830
51253.800781	0.046154
52067.800781	0.046537
61108.101562	0.046576
52091.000000	0.046798
4596.569824	0.047092
51656.199219	0.047178
5877.169922	0.047193
51964.699219	0.047265
51457.300781	0.047305
51808.898437	0.047317
5573.910156	0.048156
61014.199219	0.048166
51968.800781	0.049122
51576.898437	0.049856
5837.239746	0.050045
51697.398437	0.050238
52004.898437	0.050559
51586.300781	0.050722
62193.800781	0.052234
3607.820068	0.052751
51562.699219	0.053424
51581.601562	0.053755
51778.101562	0.054119
5811.839844	0.054173
6421.859863	0.054267
52071.699219	0.054449
6433.850098	0.054478
51800.101562	0.054650
51595.699219	0.054778
51519.898437	0.054904
52140.699219	0.055656
51637.699219	0.055952
5882.100098	0.056880
51515.101562	0.057051
51665.398437	0.057234
51760.398437	0.057343
51572.101562	0.057654
5921.010254	0.057794
52129.300781	0.057875
5619.029785	0.058270
51354.199219	0.058601
5930.600098	0.059720
5963.700195	0.059876
51898.699219	0.060578
51628.398437	0.060820
52032.699219	0.061051
52075.601562	0.061487
52148.300781	0.061647
52186.199219	0.062378
5749.470215	0.062394
51894.500000	0.062560
51821.898437	0.062788
5780.899902	0.063717
51670.000000	0.063971
51403.601562	0.064125
51500.699219	0.064446
51660.800781	0.065695
5916.200195	0.066592
52079.398437	0.066685
6445.779785	0.066892
5867.270020	0.067022
52125.500000	0.067119
51339.300781	0.067277
52144.500000	0.067352
61102.699219	0.068199
51692.800781	0.068225
52048.398437	0.068255
41679.101562	0.068289
52028.699219	0.068899
5602.200195	0.069225
5940.129883	0.069318
3775.689941	0.069724
5896.799805	0.069904
5504.750000	0.072188
52121.699219	0.072789
5463.600098	0.073169
52036.601562	0.073355
51591.000000	0.073504
51218.000000	0.074317
51349.300781	0.075154
52040.500000	0.075447
5685.180176	0.075546
51773.699219	0.075862
51452.398437	0.076633
51129.300781	0.077624
5481.299805	0.077841
51683.699219	0.077918
51813.199219	0.077938
51567.398437	0.077950
51688.300781	0.079185
51383.898437	0.080400
51769.300781	0.080962
61005.199219	0.081311
5832.189941	0.082061
51359.199219	0.082460
5977.660156	0.082565
51344.300781	0.083046
51124.000000	0.083741
51160.898437	0.084381
52063.898437	0.084485
51679.101562	0.084901
51817.601562	0.085728
51764.800781	0.085946
5862.299805	0.086073
5816.939941	0.086313
5944.870117	0.087828
51674.500000	0.087846
52163.500000	0.088297
51150.398437	0.088461
52106.398437	0.089567
5786.089844	0.089990
5674.290039	0.090083
51633.000000	0.090091
5847.310059	0.091056
52087.199219	0.093638
51118.699219	0.094927
51902.898437	0.095075
51919.500000	0.097725
5770.470215	0.097954
5991.500000	0.098277
51388.800781	0.099914
6439.819824	0.099936
51379.000000	0.100798
3940.129883	0.101737
61086.601562	0.101908
52083.300781	0.102019
4921.010254	0.102029
52167.300781	0.102487
5545.310059	0.103062
51134.601562	0.103724
5959.010254	0.104320
4916.200195	0.104965
51413.398437	0.105557
5822.040039	0.105930
52133.101562	0.106056
5528.000000	0.109165
5579.589844	0.109342
5827.120117	0.109631
51108.101562	0.109902
3996.080078	0.110021
5954.310059	0.110492
51212.800781	0.110994
52117.898437	0.112056
52060.101562	0.112299
61081.199219	0.112581
52171.101562	0.114366
52056.199219	0.116738
5925.810059	0.116793
52052.300781	0.117218
5556.779785	0.117541
51181.800781	0.119243
51139.898437	0.121481
5641.279785	0.121911
5630.180176	0.121974
32044.400391	0.122378
52136.898437	0.122880
51374.000000	0.124127
51398.699219	0.124441
5754.739746	0.125342
51364.101562	0.126227
51145.199219	0.127201
5585.260254	0.128767
31960.599609	0.130503
5857.319824	0.132698
52159.699219	0.132871
5986.899902	0.132877
5590.919922	0.133494
51176.601562	0.133954
5498.899902	0.134080
51166.199219	0.135962
51187.000000	0.137827
51393.800781	0.138260
5596.569824	0.138453
51369.101562	0.138569
51447.500000	0.140869
41804.500000	0.141535
41452.398437	0.145411
52110.199219	0.146203
51192.199219	0.148336
5901.669922	0.149005
51171.398437	0.150032
51197.398437	0.152386
4949.600098	0.152550
5760.000000	0.155936
51207.699219	0.155939
51418.300781	0.156159
5635.739746	0.157685
4701.430176	0.158576
5706.819824	0.158621
5852.319824	0.159227
51081.199219	0.159458
52152.101562	0.160527
51907.000000	0.164989
5765.239746	0.166527
51915.398437	0.166759
52114.000000	0.167520
51202.500000	0.167615
41800.101562	0.167849
3579.590088	0.169322
5551.049805	0.170760
3690.610107	0.171068
5457.669922	0.171113
5690.609863	0.173559
52178.601562	0.174909
3906.530029	0.175486
51005.199219	0.180277
5487.180176	0.180584
5493.049805	0.181075
3925.810059	0.181277
3901.669922	0.182949
5911.370117	0.183028
31529.400391	0.185582
5668.819824	0.188273
41457.300781	0.189311
51911.199219	0.189543
3744.189941	0.192505
51000.601562	0.194657
5906.529785	0.199863
51423.199219	0.204915
31534.199219	0.205667
32036.599609	0.208567
52155.898437	0.212102
41212.800781	0.212106
5652.339844	0.217140
5996.080078	0.219133
41218.000000	0.222770
52174.898437	0.225072
41524.699219	0.230185
31202.500000	0.230945
3696.030029	0.232161
31197.400391	0.234388
5982.290039	0.235897
52193.800781	0.243395
51442.699219	0.245690
51428.101562	0.246897
5696.029785	0.261062
41529.398437	0.273667
3935.370117	0.274133
5415.859863	0.275371
41808.898437	0.275536
5439.819824	0.280135
5701.430176	0.283601
51432.898437	0.289661
41491.101562	0.293272
5445.779785	0.296234
5657.839844	0.300214
42110.199219	0.300623
5663.339844	0.301481
51437.800781	0.304628
41495.898437	0.311758
3498.899902	0.319886
41462.101562	0.330256
3613.429932	0.343425
41674.500000	0.344332
52201.398437	0.354429
4624.609863	0.364545
3991.500000	0.369069
31964.699219	0.371045
3545.310059	0.372092
4944.870117	0.372266
42106.398437	0.377250
41534.199219	0.378874
31207.699219	0.384292
3786.090088	0.385576
3780.899902	0.386825
31972.800781	0.393481
31968.800781	0.403500
41486.300781	0.403746
5451.729980	0.404931
41795.699219	0.406706
31911.199219	0.432886
3602.199951	0.438130
42094.898437	0.443001
31543.699219	0.451328
41683.699219	0.466907
51102.699219	0.467315
4925.810059	0.469545
31289.199219	0.472106
31952.500000	0.472363
41466.898437	0.481131
3896.800049	0.489570
31907.000000	0.489729
41519.898437	0.498150
51086.601562	0.502245
31284.199219	0.506092
3796.429932	0.514198
52197.601562	0.521912
3685.179932	0.535517
41228.300781	0.545983
41223.101562	0.548240
41791.300781	0.550192
41539.000000	0.559287
41097.300781	0.559497
31223.099609	0.567088
41447.500000	0.575862
31304.300781	0.583616
4954.310059	0.584147
31976.800781	0.589620
42102.500000	0.595916
42098.699219	0.597426
41481.398437	0.602929
31524.699219	0.607500
31539.000000	0.609244
41233.398437	0.611205
41813.199219	0.615782
51014.199219	0.629034
3701.429932	0.629756
51009.699219	0.632275
31212.800781	0.633851
3963.699951	0.637203
31956.599609	0.644687
32040.500000	0.645552
41471.800781	0.646010
4602.200195	0.650971
31314.300781	0.653392
4657.839844	0.653528
41558.000000	0.673370
5421.859863	0.677264
42091.000000	0.680989
41500.699219	0.682177
4619.029785	0.687442
3949.600098	0.687896
41238.500000	0.692454
32048.400391	0.693530
5433.850098	0.695434
3573.909912	0.695810
31294.300781	0.695963
32028.699219	0.702443
41553.199219	0.705776
41476.601562	0.713089
31299.300781	0.715836
31886.099609	0.716250
41548.500000	0.727507
3568.209961	0.731298
31915.400391	0.733576
4607.819824	0.745676
3749.469971	0.757932
4590.919922	0.760115
41543.699219	0.761836
41786.898437	0.768556
51097.300781	0.773588
3770.469971	0.781912
41670.000000	0.790474
4911.370117	0.792313
3911.370117	0.793796
32024.800781	0.794886
41515.101562	0.796541
41243.601562	0.802107
3481.300049	0.812278
31218.000000	0.813258
31319.400391	0.825883
5427.859863	0.827122
32052.300781	0.831397
3944.870117	0.837363
41562.699219	0.838109
41688.300781	0.849609
4630.180176	0.858099
31309.300781	0.859809
31274.099609	0.871093
51092.000000	0.873192
31902.900391	0.878808
31881.900391	0.879832
3930.600098	0.887503
41207.699219	0.892853
31279.099609	0.897390
41782.500000	0.901313
42087.199219	0.903041
31228.300781	0.915290
32060.099609	0.923285
3596.570068	0.923942
3916.199951	0.926563
32063.900391	0.937990
41505.500000	0.949723
4613.430176	0.953676
41248.699219	0.969731
31233.400391	0.974900
3510.580078	0.977165
32012.900391	0.988630
41665.398437	0.990892
31324.400391	0.996231
3619.030029	1.012551
4663.339844	1.021610
32000.900391	1.023069
4940.129883	1.039786
41510.300781	1.043408
41817.601562	1.055894
4930.600098	1.061963
41778.101562	1.063529
4935.370117	1.077156
42114.000000	1.084172
3891.909912	1.114435
31919.500000	1.128781
3733.580078	1.132999
31996.900391	1.139120
31980.900391	1.140922
4728.250000	1.141967
31923.699219	1.145677
3754.739990	1.145761
31984.900391	1.155235
4733.580078	1.158847
31944.300781	1.160785
31742.500000	1.163686
32056.199219	1.169412
31253.800781	1.173571
3765.239990	1.176281
3533.780029	1.199744
31948.400391	1.200524
3556.780029	1.202651
31936.099609	1.203057
3590.919922	1.206791
3973.020020	1.210344
3493.050049	1.211904
31269.000000	1.216680
4421.859863	1.220669
41567.398437	1.224765
31258.900391	1.232013
32032.699219	1.245520
41692.800781	1.247270
31519.900391	1.250601
3551.050049	1.253620
4722.919922	1.264291
4959.010254	1.277877
31238.500000	1.278488
3706.820068	1.282484
41253.800781	1.282724
3954.310059	1.285994
31243.599609	1.286809
4585.260254	1.306892
31263.900391	1.318255
32004.900391	1.329015
31927.800781	1.330975
32020.800781	1.331091
4706.819824	1.338947
41299.300781	1.357977
3959.010010	1.375861
41294.300781	1.377730
41660.800781	1.382571
31729.099609	1.385719
31548.500000	1.397766
4738.890137	1.406430
41005.199219	1.407207
31992.900391	1.412219
31192.199219	1.413066
31890.300781	1.419186
31711.000000	1.420516
31329.300781	1.430075
32087.199219	1.433350
32071.699219	1.439500
41258.898437	1.441008
31738.099609	1.441142
4744.189941	1.443136
32094.900391	1.443868
3717.560059	1.446266
41773.699219	1.459417
41304.300781	1.464478
41821.898437	1.468407
3722.919922	1.468704
4696.029785	1.478765
3791.260010	1.484482
4717.560059	1.500630
31988.900391	1.503491
41697.398437	1.506360
31248.699219	1.514339
3801.580078	1.525503
3738.889893	1.542209
41442.699219	1.546252
4415.859863	1.548522
41263.898437	1.551729
41309.300781	1.559130
4749.470215	1.560918
41289.199219	1.567362
31733.599609	1.574404
4635.739746	1.599601
41269.000000	1.600133
42083.300781	1.600531
32008.900391	1.612691
41572.101562	1.622928
4963.700195	1.634787
41656.199219	1.637165
3968.370117	1.641684
3630.179932	1.641696
31553.199219	1.643732
41279.101562	1.653651
31724.599609	1.654486
31931.900391	1.656491
32067.800781	1.666881
31720.000000	1.669596
32091.000000	1.675850
41284.199219	1.677854
41274.101562	1.677919
41826.199219	1.683572
31747.000000	1.711031
31706.500000	1.716733
4712.200195	1.728609
31515.099609	1.742508
3562.500000	1.744630
41701.898437	1.755772
3712.199951	1.756535
3539.550049	1.756984
41314.300781	1.761451
31715.500000	1.766699
41202.500000	1.784457
31940.199219	1.788980
3487.179932	1.790761
41769.300781	1.800855
41576.898437	1.808444
3921.010010	1.809144
41651.500000	1.845970
4968.370117	1.856093
41319.398437	1.862873
41830.601562	1.866015
41324.398437	1.871260
3760.000000	1.879257
3646.820068	1.889542
3504.750000	1.890303
41706.500000	1.893849
3806.709961	1.902972
3728.250000	1.903112
41646.898437	1.922134
42079.398437	1.930012
41000.601562	1.934371
3986.899902	1.935451
31898.699219	1.938799
41329.300781	1.938973
4906.529785	1.944229
32016.900391	1.951774
31187.000000	1.954166
41834.898437	1.961390
42117.898437	1.986314
31334.300781	1.988263
4652.339844	1.995581
32075.599609	1.997759
4973.020020	1.999702
4977.660156	2.000765
32079.400391	2.007843
31701.900391	2.010887
31510.300781	2.014703
41334.300781	2.048417
31692.800781	2.049622
4579.589844	2.053197
31751.500000	2.053824
41642.300781	2.060351
41711.000000	2.063544
4754.739746	2.066082
31877.599609	2.081748
41839.199219	2.084696
31894.500000	2.102782
31697.400391	2.132571
41581.601562	2.133198
3451.729980	2.152829
3982.290039	2.161061
41637.699219	2.162439
31505.500000	2.162850
31495.900391	2.180335
41843.500000	2.183381
3679.739990	2.222087
3475.409912	2.223568
41864.898437	2.231609
3624.610107	2.240424
42121.699219	2.243712
41339.300781	2.266356
41869.101562	2.269615
42075.601562	2.274771
41764.800781	2.276965
41715.500000	2.296881
41586.300781	2.328129
4668.819824	2.334565
41877.601562	2.344495
41860.601562	2.350935
41852.101562	2.355660
3528.000000	2.357289
3847.310059	2.361522
31500.699219	2.380304
31688.300781	2.384910
41886.101562	2.389890
41720.000000	2.397717
4573.910156	2.403745
41881.898437	2.409565
31339.300781	2.425694
4641.279785	2.427862
4690.609863	2.444894
41738.101562	2.459425
41890.300781	2.464573
41733.601562	2.466128
41729.101562	2.466839
41856.398437	2.466865
31755.900391	2.493316
41847.800781	2.495201
41724.601562	2.500140
3867.270020	2.508079
41873.398437	2.512227
31683.699219	2.525167
3862.300049	2.531687
4568.209961	2.550276
31344.300781	2.556976
4562.500000	2.557678
41742.500000	2.562117
42071.699219	2.562614
32098.699219	2.578046
3877.169922	2.580157
41197.398437	2.588265
41633.000000	2.612373
31558.000000	2.632038
3635.739990	2.666119
41591.000000	2.667302
41760.398437	2.671175
41344.300781	2.698724
41102.699219	2.701262
42125.500000	2.708467
3516.399902	2.717267
31760.400391	2.727374
41894.500000	2.736664
41747.000000	2.743624
31679.099609	2.744526
31491.099609	2.783063
3882.100098	2.784133
4901.669922	2.787694
3857.320068	2.799682
4760.000000	2.801482
4982.290039	2.813877
31873.400391	2.818032
4646.819824	2.818364
42067.800781	2.819560
3811.840088	2.827298
41755.898437	2.841557
41751.500000	2.873204
3652.340088	2.891826
4674.290039	2.903346
42129.300781	2.911883
41609.699219	2.953763
41614.398437	2.962436
31081.199219	2.963448
3842.280029	2.964806
31181.800781	2.973381
32083.300781	2.984675
32106.400391	2.990557
31349.300781	3.009286
4556.779785	3.020261
3852.320068	3.030990
42063.898437	3.034412
41437.800781	3.039493
32102.500000	3.044592
41595.699219	3.060388
41628.398437	3.060986
41619.101562	3.068448
4887.010254	3.077327
41605.101562	3.090801
41898.699219	3.092822
41349.300781	3.093454
31764.800781	3.094714
31562.699219	3.102867
3663.340088	3.116143
31674.500000	3.116241
31567.400391	3.184776
3822.040039	3.198064
4679.739746	3.216461
4685.180176	3.223856
41623.699219	3.224522
41600.398437	3.225277
3522.199951	3.226400
31670.000000	3.263230
42133.101562	3.263747
3872.229980	3.276375
3469.510010	3.276452
4882.100098	3.284250
3816.939941	3.293681
31486.300781	3.316955
41192.199219	3.322839
31769.300781	3.328767
31778.099609	3.332799
41902.898437	3.360589
4996.080078	3.379769
32117.900391	3.394403
41354.199219	3.437126
4896.799805	3.440040
4891.910156	3.471778
4791.260254	3.486137
31092.000000	3.550841
31086.599609	3.616292
4877.169922	3.639989
4765.239746	3.641340
31773.699219	3.643471
42060.101562	3.654933
3674.290039	3.664250
31354.199219	3.673259
4796.430176	3.683843
3463.600098	3.688685
41359.199219	3.693202
31176.599609	3.723559
4872.229980	3.734886
4551.049805	3.749341
41009.699219	3.774538
41113.398437	3.795582
31572.099609	3.805728
4801.580078	3.814199
31660.800781	3.823274
3887.010010	3.885800
31782.500000	3.891805
31665.400391	3.955219
42136.898437	3.967135
4786.089844	3.967462
3657.840088	3.974330
4522.200195	3.978011
4867.270020	3.998355
4806.709961	4.014710
3837.239990	4.031999
41907.000000	4.046037
4516.399902	4.046986
3832.189941	4.084440
41187.000000	4.088404
41108.101562	4.109339
4504.750000	4.114214
4510.580078	4.145959
4991.500000	4.146705
32114.000000	4.147247
42056.199219	4.158422
3668.820068	4.199930
4811.839844	4.208885
41118.699219	4.220885
41364.101562	4.256580
31791.300781	4.275908
31171.400391	4.290958
31481.400391	4.336933
4780.899902	4.367683
4986.899902	4.374859
31786.900391	4.388388
4862.299805	4.399230
31656.199219	4.405826
32125.500000	4.409988
31869.099609	4.433897
4770.470215	4.446380
31466.900391	4.462715
3445.780029	4.483630
31476.599609	4.488271
32110.199219	4.491052
4528.000000	4.496138
42140.699219	4.501123
42144.500000	4.502968
31014.199219	4.508883
31097.300781	4.530672
3439.820068	4.566086
4816.939941	4.574297
31576.900391	4.574366
41432.898437	4.602337
4775.689941	4.614215
31471.800781	4.636010
41181.800781	4.664410
3457.669922	4.669091
32121.699219	4.693603
4545.310059	4.738423
41124.000000	4.744319
4539.549805	4.779215
42052.300781	4.812085
31581.599609	4.813016
31795.699219	4.824848
4857.319824	4.848834
31642.300781	4.849482
4498.899902	4.853940
31462.099609	4.876021
3827.120117	4.876952
31651.500000	4.882789
3977.659912	4.911957
41369.101562	4.955788
31800.099609	4.967595
31452.400391	4.976480
31646.900391	4.982272
41911.199219	5.029709
31457.300781	5.031866
